categoria_id;marca_id;codigo;descripcion;cantidad;precioCosto;utilidad_id;precioPublico
1;1;2505035;TORNILLO 8G MM MA 5 X 35;200;23.31;2;0
1;1;2505040;TORNILLO 8G MM MA 5 X 40;350;24.22;2;0
1;1;2505045;TORNILLO 8G MM MA 5 X 45;200;26.88;2;0
1;1;2506025;TORNILLO 8G MM MA 6 X 25;270;23.59;2;0
1;1;2506030;TORNILLO 8G MM MA 6 X 30;220;26.39;2;0
1;1;2506035;TORNILLO 8G MM MA 6 X 35;250;27.93;2;0
1;1;2506040;TORNILLO 8G MM MA 6 X 40;250;30.1;2;0
1;1;2506045;TORNILLO 8G MM MA 6 X 45;200;32.62;2;0
1;1;2506050;TORNILLO 8G MM MA 6 X 50;300;35.14;2;0
1;1;2506055;TORNILLO 8G MM MA 6 X 55;150;39.83;2;0
1;1;2506060;TORNILLO 8G MM MA 6 X 60;120;42.77;2;0
1;1;2506070;TORNILLO 8G MM MA 6 X 70;200;52.57;2;0
1;1;2508015;TORNILLO 8G MM MA 8 X 15;250;35.14;2;0
1;1;2508020;TORNILLO 8G MM MA 8 X 20;300;37.45;2;0
1;1;2508025;TORNILLO 8G MM MA 8 X 25;400;41.02;2;0
1;1;2508030;TORNILLO 8G MM MA 8 X 30;150;44.45;2;0
1;1;2508035;TORNILLO 8G MM MA 8 X 35;300;49.56;2;0
1;1;2508040;TORNILLO 8G MM MA 8 X 40;250;54.11;2;0
1;1;2508050;TORNILLO 8G MM MA 8 X 50;200;63;2;0
1;1;2508080;TORNILLO 8G MM MA 8 X 80;150;97.51;2;0
1;1;2510020;TORNILLO 8G MM MA 10 X 20;200;64.12;2;0
1;1;2510030;TORNILLO 8G MM MA 10 X 30;100;75.39;2;0
1;1;2510040;TORNILLO 8G MM MA 10 X 40;150;90.58;2;0
1;1;2510050;TORNILLO 8G MM MA 10 X 50;125;106.75;2;0
1;1;2510060;TORNILLO 8G MM MA 10 X 60;100;118.86;2;0
1;1;2510080;TORNILLO 8G MM MA 10 X 80;60;160.83;2;0
1;1;608006;TUERCA AUTOFR. MA 6 MM C;250;10.12;2;0
1;1;608008;TUERCA AUTOFR. MA 8 MM C;250;19.89;2;0
1;1;607005;TUERCA PUL. MA CLASE 6 ZINC  5 X 0.8;1000;6.64;2;0
1;1;607006;TUERCA PUL. MA CLASE 6 ZINC  6 X 1;1000;7.28;2;0
1;1;607008;TUERCA PUL. MA CLASE 6 ZINC  8 X 1.25;500;14.55;2;0
1;1;607010;TUERCA PUL. MA CLASE 6 ZINC  10 X 1.5;300;32.01;2;0
1;1;1806016;BULON PULIDO UNC 1/4 X 5/8;500;14.71;2;0
1;1;1806020;BUL.PUL.UNC.ZINC. 1/4 X 3/4 ;500;19.69;2;0
1;1;1806025;BULON PULIDO UNC 1/4 X 1 ;300;17.64;2;0
1;1;1806032;BULON PULIDO UNC 1/4 X 1 1/4 ;500;21.15;2;0
1;1;1806038;BULON PULIDO UNC 1/4 X 1 1/2 ;200;21.96;2;0
1;1;1806051;BUL.PUL.UNC.ZINC. 1/4 X 2 ;200;29.5;2;0
1;1;1806076;BULON PULIDO UNC 1/4 X 3 ;100;41.8;2;0
1;1;1809016;BULON PULIDO UNC 3/8 X 5/8  ;200;28.33;2;0
1;1;1809019;BULON PULIDO UNC 3/8 X 3/4 ;200;30.16;2;0
1;1;1809025;BULON PULIDO UNC 3/8 X 1;300;35.43;2;0
1;1;1809032;BULON PULIDO UNC 3/8 X 1 1/4 ;300;38.72;2;0
1;1;1809038;BULON PULIDO UNC 3/8 X 1 1/2 ;200;43.41;2;0
1;1;1809044;BULON PULIDO UNC 3/8 X 1 3/4  ;150;50;2;0
1;1;1809050;BULON PULIDO UNC 3/8 X 2 ;150;53.29;2;0
1;1;1809063;BULON PULIDO UNC 3/8 X 2 1/2 ;100;63.98;2;0
1;1;1809076;BULON PULIDO UNC 3/8 X 3 ;100;72.47;2;0
1;1;1809101;BUL.PUL.UNC.ZINC. 3/8 X 4;100;117.17;2;0
1;1;1808016;BULON PULIDO UNC 5/16 X 5/8 ;300;22.33;2;0
1;1;1808026;BUL.PUL.UNC.ZINC. 5/16 X 1 ;400;30.38;2;0
1;1;1808032;BULON PULIDO UNC 5/16 X 1 1/4 ;300;29.57;2;0
1;1;1808038;BULON PULIDO UNC 5/16 X 1 1/2 ;300;31.77;2;0
1;1;1808044;BULON PULIDO UNC 5/16 X 1 3/4 ;250;34.84;2;0
1;1;1808050;BULON PULIDO UNC 5/16 X 2 ;200;37.7;2;0
1;1;1808064;BUL.PUL.UNC.ZINC. 5/16 X 2 1/2 ;200;52.94;2;0
1;1;1808077;BUL.PUL.UNC.ZINC. 5/16 X 3 ;100;61.27;2;0
1;1;1808101;BUL.PUL.UNC.ZINC. 5/16 X 4 ;100;95.7;2;0
1;1;704006;TUERCA EST. AC PUL UNC 1/4  ;1000;8.78;2;0
1;1;704008;TUERCA EST. AC PUL UNC 5/16  ;1000;13.07;2;0
1;1;704009;TUERCA EST. AC PUL UNC 3/8   ;800;18.43;2;0
1;1;602009;TUERCA PUL. UNC ZINCADA 3/8   ;500;20.96;2;0
1;1;602008;TUERCA PUL. UNC ZINCADA 5/16   ;1000;15.4;2;0
